Filename	lab	bin_cloze	F7	F3	Fz	F4	F8	FC5	FC1	FC2	FC6	C3	Cz	C4	CP5	CP1	CP2	CP6	P7	P3	Pz	P4	P8	Oz
glas_nbin1	glas	2	-0.01	0.26	0.28	0.26	0.07	-0.27	0.20	0.13	-0.22	-0.32	0.10	-0.24	-0.84	-0.23	-0.14	-0.60	-0.97	-0.27	-0.11	-0.21	-0.67	-0.37
glas_nbin10	glas	96	0.12	1.27	1.52	1.27	0.61	0.42	1.78	1.89	0.81	1.53	2.19	1.59	1.11	2.30	2.21	1.12	0.78	2.23	2.29	2.05	1.03	1.56
glas_nbin2	glas	16	1.11	0.86	1.83	0.86	0.05	0.96	1.50	1.37	0.04	1.13	1.59	0.75	0.40	1.36	1.18	-0.20	-0.35	1.15	1.26	0.68	-0.81	0.27
glas_nbin3	glas	27	-0.19	-0.23	0.32	-0.23	-0.67	-0.29	0.43	0.07	-0.61	0.31	0.60	-0.06	0.08	0.81	0.79	-0.31	-0.09	1.21	1.18	0.85	-0.08	0.62
glas_nbin4	glas	37	0.68	0.73	1.25	0.73	0.01	0.61	1.18	0.87	0.48	1.20	1.01	0.49	0.51	1.17	0.66	0.12	0.09	1.30	1.31	0.84	0.24	0.85
glas_nbin5	glas	49	0.10	0.71	1.51	0.71	0.35	0.44	1.89	1.26	0.10	1.14	1.75	0.81	1.23	1.78	1.08	0.57	0.75	1.63	1.97	1.49	0.82	1.26
glas_nbin6	glas	57	0.34	0.89	1.06	0.89	-0.25	0.18	1.39	1.68	0.52	0.72	2.13	1.49	-0.06	2.28	2.43	0.95	-0.59	1.61	3.07	2.79	1.51	1.56
glas_nbin7	glas	66	1.64	2.61	3.10	2.61	1.83	2.15	3.55	3.29	1.89	2.94	3.73	2.73	1.96	3.05	3.01	1.67	1.01	2.50	2.82	2.41	0.96	1.38
glas_nbin8	glas	78	0.11	0.83	1.16	0.83	0.30	0.22	1.14	1.35	0.41	0.61	1.27	0.63	0.36	1.20	0.89	0.06	0.09	0.92	0.69	0.59	-0.20	0.23
glas_nbin9	glas	89	0.12	0.92	1.33	0.92	0.35	0.17	1.71	1.43	0.45	1.29	1.83	1.16	0.76	1.85	1.67	0.81	0.74	2.00	1.88	1.82	0.88	1.52
birm_nbin1	birm	2	0.65	0.75	0.75	0.30	-0.34	0.68	0.67	0.40	0.03	0.86	0.48	0.39	0.99	0.82	0.61	0.50	0.69	1.00	0.73	0.66	0.63	-0.10
birm_nbin10	birm	96	0.14	0.59	0.67	0.37	-0.04	0.40	0.94	0.79	0.27	1.19	1.25	0.86	1.02	1.47	1.29	0.83	0.92	1.41	1.25	1.19	1.24	0.60
birm_nbin2	birm	16	0.77	1.67	2.00	1.53	0.44	1.13	1.83	1.75	0.88	1.99	2.02	1.85	1.61	2.31	1.91	1.56	1.04	2.05	1.90	1.85	1.61	0.38
birm_nbin3	birm	27	0.01	0.69	1.10	0.78	0.51	0.36	1.41	1.18	0.52	1.47	1.43	1.33	1.64	1.94	1.83	1.58	1.17	1.91	2.19	1.89	1.21	1.08
birm_nbin4	birm	37	-0.29	0.08	-0.02	-0.30	-0.49	-0.10	0.35	0.18	-0.31	0.48	0.13	0.22	0.35	0.37	0.27	0.61	0.55	0.70	0.30	0.57	0.88	-0.16
birm_nbin5	birm	49	-0.03	1.37	1.93	0.77	-0.49	0.89	1.60	1.16	0.33	1.85	1.73	0.50	1.33	1.97	1.98	1.09	0.75	2.10	2.00	2.11	0.94	0.94
birm_nbin6	birm	57	1.22	2.06	2.95	2.24	0.63	1.84	2.71	2.80	1.78	2.63	2.89	2.78	2.09	3.01	2.60	2.12	1.16	2.53	2.77	2.70	2.60	1.34
birm_nbin7	birm	66	1.73	1.55	1.67	1.57	1.23	1.44	1.73	1.84	1.36	1.83	1.69	2.01	1.48	1.68	1.65	1.86	0.78	1.34	1.37	1.74	1.55	0.61
birm_nbin8	birm	78	0.40	0.56	0.63	0.64	0.02	0.26	1.08	0.89	0.42	1.26	1.20	0.97	1.10	1.50	1.42	1.00	0.91	1.65	1.64	1.50	1.71	1.03
birm_nbin9	birm	89	0.03	0.42	0.54	0.33	0.14	0.12	0.62	0.79	0.12	0.64	0.96	0.55	0.58	0.92	0.80	0.78	0.55	1.03	0.96	0.85	1.10	0.46
lond_nbin1	lond	2	-0.10	-0.42	-0.54	-0.47	0.00	-0.52	-0.23	-0.27	-0.61	-0.56	-0.50	-0.52	-0.53	-0.56	-0.54	-0.78	-0.14	-0.02	-0.46	-0.55	-0.43	-0.42
lond_nbin10	lond	96	0.21	0.90	1.06	0.86	0.85	0.57	0.97	1.08	0.51	0.93	1.02	0.93	1.02	1.26	1.25	0.86	1.26	1.53	1.22	1.44	1.21	0.77
lond_nbin2	lond	16	-0.09	-0.01	0.19	-0.26	-1.02	-0.64	0.28	-0.46	-0.59	0.04	-0.29	-0.21	-0.24	0.18	0.22	-0.28	0.44	1.02	0.78	0.89	-0.06	-0.07
lond_nbin3	lond	27	-0.88	-2.07	-2.54	-2.44	-1.31	-2.17	-1.55	-2.27	-1.85	-1.29	-1.81	-1.92	-0.81	-1.33	-1.25	-2.18	-0.32	-0.47	-0.91	-0.92	-1.53	-1.18
lond_nbin4	lond	37	0.39	1.59	0.65	1.02	0.61	0.68	1.05	0.90	0.64	0.63	0.44	0.71	0.42	0.98	0.97	0.16	1.12	1.11	0.82	0.48	0.32	0.55
lond_nbin5	lond	49	0.89	1.69	0.63	1.39	0.67	2.58	1.16	1.27	1.68	1.38	2.59	1.72	1.80	3.06	2.19	1.37	1.51	2.08	1.41	1.30	0.56	1.67
lond_nbin6	lond	57	-0.43	0.16	0.44	0.90	-0.22	-0.68	0.21	2.42	1.10	-0.12	-0.01	1.73	-0.24	0.43	0.56	1.37	-0.27	0.92	0.66	2.00	1.32	-0.07
lond_nbin7	lond	66	0.03	0.67	0.77	0.63	0.27	0.08	0.40	0.33	0.62	0.56	0.54	0.39	0.46	-0.30	-0.08	1.15	0.52	0.60	0.20	0.86	0.49	0.52
lond_nbin8	lond	78	-0.01	0.82	0.12	0.11	-0.91	0.17	0.32	0.37	-0.37	0.52	0.32	0.25	0.29	0.94	0.46	-0.07	0.31	0.76	0.75	1.01	0.85	0.22
lond_nbin9	lond	89	0.02	0.37	0.19	0.02	-0.53	0.04	0.79	0.68	-0.19	0.67	0.38	0.30	0.78	0.76	0.57	0.51	1.18	1.30	0.85	1.26	1.46	1.10
york_nbin1	york	2	0.03	-0.19	-0.07	-0.17	-0.13	-0.34	-0.10	-0.14	-0.24	-0.12	-0.11	-0.18	-0.32	0.05	0.07	-0.12	0.03	0.53	0.42	0.39	0.09	0.15
york_nbin10	york	96	0.02	1.14	1.47	1.61	0.88	0.39	1.73	1.99	1.17	1.75	2.35	2.16	1.13	2.35	2.52	1.80	1.31	2.41	2.48	2.46	1.75	1.54
york_nbin2	york	16	-0.20	0.40	0.45	0.30	-0.34	-0.31	0.11	0.69	0.13	0.26	0.55	0.55	-0.32	0.75	0.91	0.62	-0.12	0.81	1.07	0.94	0.59	0.25
york_nbin3	york	27	-0.42	-0.88	-0.99	-0.63	-0.55	-0.67	-0.65	-0.42	-0.37	-0.15	-0.11	0.29	-0.38	0.19	0.53	0.51	0.12	0.79	0.78	0.89	0.61	0.27
york_nbin4	york	37	-0.39	0.10	0.51	0.52	-0.50	-0.59	0.58	0.73	-0.09	0.87	0.89	0.46	0.54	1.39	0.90	-0.03	0.59	1.56	1.32	0.54	0.16	0.57
york_nbin5	york	49	-0.28	0.28	-0.02	-0.37	-0.73	0.05	0.60	0.13	-0.50	1.04	0.98	0.26	0.44	1.42	1.39	0.70	0.90	1.65	1.99	1.81	1.06	1.42
york_nbin6	york	57	0.60	2.37	2.84	3.13	1.62	1.48	3.47	4.16	2.68	3.52	4.11	4.16	2.09	4.08	4.28	2.98	1.87	3.79	4.17	3.51	2.24	2.02
york_nbin7	york	66	-0.16	1.13	1.68	1.30	-0.07	0.75	1.85	1.87	0.60	1.94	2.10	1.86	1.28	2.53	2.42	1.44	1.05	2.47	2.77	2.41	0.73	1.12
york_nbin8	york	78	-0.29	-0.01	0.91	0.76	-0.11	-0.42	0.88	1.33	0.47	0.91	1.32	1.18	0.66	1.55	1.43	0.72	1.16	1.66	1.52	1.27	0.88	0.84
york_nbin9	york	89	-0.42	0.91	1.46	1.59	0.67	0.35	1.56	1.84	1.15	1.77	2.23	2.12	1.41	2.56	2.48	1.97	1.48	2.65	2.72	2.64	1.87	1.55
