Filename	lab	bin_cloze	F7	F3	Fz	F4	F8	FC5	FC1	FC2	FC6	C3	Cz	C4	CP5	CP1	CP2	CP6	P7	P3	Pz	P4	P8	Oz
glas_abin3	glas	26	-0.61	-0.81	-0.81	-0.81	-0.59	-1.22	-1.10	-0.75	-1.21	-0.47	-0.56	-0.33	-0.17	-0.05	0.33	0.20	0.57	0.80	0.49	0.85	0.73	1.84
glas_abin4	glas	34	-0.77	-0.98	-1.10	-0.98	-0.50	-1.37	-1.41	-1.16	-0.96	-1.42	-0.87	-0.74	-1.62	-0.63	-0.20	-0.77	-0.98	-0.99	-0.49	0.10	-0.70	-0.96
glas_abin6	glas	56	0.03	-0.90	-1.24	-0.90	-0.76	-1.03	-1.79	-1.97	-1.24	-1.89	-2.30	-2.25	-1.74	-2.46	-2.75	-1.89	-1.32	-2.30	-2.74	-2.47	-1.65	-1.49
glas_abin7	glas	67	-0.19	-0.06	-0.71	-0.06	0.12	-0.70	-1.30	-0.75	0.12	-1.37	-1.26	-0.55	-1.08	-1.38	-1.04	-0.41	-0.73	-1.38	-1.58	-0.74	-0.28	-0.93
glas_abin8	glas	75	-0.93	-1.30	-1.74	-1.30	-0.77	-1.51	-2.11	-1.79	-0.98	-1.83	-2.05	-1.44	-1.56	-2.15	-1.82	-0.99	-1.07	-1.71	-2.13	-1.47	-0.81	-0.96
glas_abin9	glas	85	-0.60	-0.41	-0.62	-0.41	-0.13	-0.77	-0.86	-0.41	-0.21	-1.00	-0.71	-0.47	-0.90	-0.82	-0.60	-0.25	-0.12	-0.58	-0.92	-0.54	0.00	-0.28
birm_abin1	birm	2	-0.36	-0.39	-0.48	-0.12	0.29	-0.34	-0.11	-0.01	0.29	-0.13	0.11	0.33	-0.33	0.02	0.35	0.61	-0.21	0.01	0.10	0.53	0.81	0.37
birm_abin10	birm	95	-0.54	-0.97	-0.82	-0.40	-0.18	-1.03	-0.70	-0.69	-0.11	-0.92	-0.65	-0.16	-0.70	-0.75	-0.63	-0.07	-0.23	-0.46	-0.64	-0.01	0.31	-0.02
birm_abin2	birm	15	-0.05	0.01	0.26	0.51	0.51	-0.08	0.27	0.37	0.56	-0.03	0.43	0.39	-0.39	0.19	0.31	0.37	-0.33	-0.13	-0.14	0.17	0.33	-0.06
birm_abin3	birm	26	-0.03	-0.51	-0.72	-0.91	0.27	-0.18	-0.13	-0.61	-0.13	-0.35	-0.23	-0.62	-0.05	-0.41	-0.31	-0.16	0.28	0.28	-0.42	-0.24	0.69	0.37
birm_abin4	birm	34	-0.90	-0.86	-0.65	-1.09	-0.33	-0.92	-0.77	-0.49	-0.46	-0.66	-0.53	-0.28	-0.43	-0.54	-0.37	0.45	-0.27	-0.24	-0.39	0.16	1.17	-0.48
birm_abin6	birm	56	-1.55	-1.23	-1.44	-1.00	-0.62	-1.41	-1.69	-1.33	-0.69	-1.64	-1.55	-0.96	-1.74	-1.65	-1.34	-0.61	-1.76	-1.58	-1.49	-0.78	-0.56	-1.06
birm_abin7	birm	67	0.14	0.05	0.12	0.14	0.12	0.16	0.08	0.18	0.17	0.02	0.00	0.23	-0.08	0.04	0.19	0.17	0.07	0.17	-0.01	0.18	0.14	-0.02
birm_abin8	birm	75	-0.94	-0.91	-0.60	-0.34	-0.04	-1.03	-0.79	-0.51	-0.16	-0.94	-0.59	-0.20	-0.87	-0.72	-0.29	0.19	-0.36	-0.46	-0.45	0.18	0.47	-0.17
birm_abin9	birm	85	-0.71	-0.79	-1.12	-0.98	-0.47	-0.92	-0.86	-1.00	-0.61	-0.59	-0.77	-0.67	-0.76	-0.53	-0.49	-0.14	-0.39	-0.34	-0.56	0.01	0.46	-0.35
lond_abin1	lond	2	-0.88	-0.89	-0.88	-0.36	0.03	-0.98	-1.09	-0.69	-0.19	-0.74	-0.53	-0.26	-0.74	-0.68	-0.31	0.01	0.03	-0.46	-0.52	-0.06	0.48	0.28
lond_abin10	lond	95	-0.50	-0.62	-0.35	-0.60	0.04	-0.11	-0.97	-0.67	-0.18	-0.90	-0.80	-0.85	-0.53	-0.90	-0.99	-0.43	0.25	-0.41	-0.95	-0.50	-0.23	-0.07
lond_abin2	lond	15	-1.05	-1.18	-1.30	-0.81	-0.19	-1.12	-1.14	-0.68	-0.34	-1.23	-0.66	-0.17	-0.84	-0.58	0.04	0.12	0.02	-0.82	-0.47	-0.30	0.18	-0.04
lond_abin3	lond	26	-0.28	-1.01	-0.53	-0.77	-0.17	0.09	-0.27	-1.21	-0.85	-0.40	-0.27	-0.68	-0.80	0.08	-0.27	-0.67	0.48	-0.26	-0.53	-0.70	0.15	-0.46
lond_abin4	lond	34	-2.72	-1.62	-1.38	-0.79	0.28	-2.23	-2.35	-1.47	-0.92	-1.28	-0.25	-0.66	-1.66	-0.12	0.48	0.57	-2.00	-2.28	-0.15	1.53	-0.03	-2.12
lond_abin6	lond	56	0.07	0.72	0.13	0.24	0.13	0.53	-0.05	0.04	0.02	-0.18	0.01	0.00	-0.35	-0.12	-0.16	-0.57	0.47	-0.14	-0.47	-0.70	0.03	-0.38
lond_abin7	lond	67	0.29	-0.44	-0.21	-0.22	-0.03	-0.64	-0.45	-0.30	-0.05	-0.25	-0.45	-0.30	0.05	0.03	-0.26	0.29	0.71	0.00	-0.12	0.10	0.53	0.36
lond_abin8	lond	75	-0.20	-0.77	-0.78	-1.18	-0.41	-0.38	-0.92	-0.96	-0.68	-0.89	-1.27	-0.99	-0.63	-1.12	-1.07	-0.67	-0.51	-0.73	-1.52	-1.24	-0.66	-1.18
lond_abin9	lond	85	-1.35	-1.49	-1.39	-1.18	0.09	-1.11	-1.12	-1.08	-0.34	-0.95	-0.83	-0.86	-0.54	-1.31	-0.72	-0.33	-0.49	-0.50	-0.82	-0.45	0.03	-0.17
york_abin1	york	2	-1.10	-1.56	-1.59	-1.06	-0.71	-1.32	-1.55	-1.03	-0.66	-1.50	-0.98	-0.63	-1.42	-0.97	-0.64	-0.36	-0.19	-0.86	-0.74	-0.21	0.62	0.11
york_abin10	york	95	-0.56	-1.32	-1.19	-0.75	-0.30	-1.09	-1.44	-0.95	-0.36	-1.07	-1.11	-0.28	-0.64	-0.72	-0.54	0.04	0.06	-0.41	-0.79	-0.26	0.27	-0.34
york_abin2	york	15	-0.45	-0.69	-0.80	-0.28	-0.04	-0.66	-0.77	-0.58	0.08	-0.76	-0.60	-0.12	-0.47	-0.46	-0.26	0.24	0.09	-0.33	-0.49	0.02	0.68	0.15
york_abin3	york	26	-0.53	-1.29	-1.25	-0.85	-0.36	-1.31	-1.26	-1.00	-0.64	-0.74	-0.72	-0.55	-0.61	-0.51	-0.62	-0.22	0.50	-0.39	-0.53	-0.34	0.28	0.05
york_abin4	york	34	-1.79	-3.34	-3.32	-2.52	-0.81	-2.47	-3.02	-2.65	-1.25	-2.50	-2.26	-1.90	-1.14	-1.80	-1.48	-0.55	0.11	-1.06	-1.26	-0.54	0.59	0.07
york_abin6	york	56	-0.81	-1.92	-2.26	-1.87	-0.86	-1.20	-2.20	-2.44	-1.56	-1.98	-2.45	-2.07	-1.55	-2.17	-2.18	-1.27	-0.88	-1.69	-2.20	-1.72	-0.63	-1.04
york_abin7	york	67	-0.51	-1.02	-0.77	-0.61	-0.32	-0.93	-1.08	-0.80	-0.27	-0.86	-1.12	-0.47	-0.56	-0.93	-0.75	-0.07	0.02	-0.38	-0.84	-0.26	0.12	-0.09
york_abin8	york	75	-0.26	-0.78	-0.98	-0.57	-0.17	-0.60	-1.06	-0.82	-0.19	-0.83	-1.03	-0.47	-0.38	-0.93	-0.88	-0.06	0.10	-0.52	-1.07	-0.34	0.44	-0.27
york_abin9	york	85	-0.88	-1.52	-2.16	-1.54	-0.70	-1.26	-1.99	-1.62	-0.96	-1.50	-1.63	-1.09	-1.07	-1.29	-1.06	-0.53	0.01	-0.92	-1.14	-0.60	0.26	-0.37
